"","ACHY","AMID","ARPU9","ARTR2","ARTR2.D","ATCA2","ATCA2.D","Bare.Soil","BOGR2","BOGR2.D","BRTE","CHLE4","CHVI8","CHVI8.D","ECCOC","ELEL5","EPVI","ERCI6","GRFA","GUSA2","GUSA2.D","HECO26","HECO26.D","JUOS","KRLA2","LEMO2","OPPO","OPPO.D","PEPU7","PHAU3","PIED","PIED.D","PLPA2","SALSO","SPCR","SPCR.D","Total.Foliar","CLLU2","LAOC3","SALSO.D","SPCO","HIJA"
"B3_2",0,0,0,0,0.0222222222222222,0,0,0.655555555555556,0.688888888888889,0.0777777777777778,0,0,0,0,0,0.0111111111111111,0,0,0,0.0555555555555556,0,0.388888888888889,0.0111111111111111,0,0.0444444444444444,0,0.0111111111111111,0,0,0,0,0,0,0,0.488888888888889,0,1.68888888888889,0,0,0,0,0
"B3_3",0,0,0,0,0,0.0111111111111111,0,0.955555555555556,0.755555555555556,0.0444444444444444,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222222222222222,0,0,0,0,0,0,0.1,0.355555555555556,0.0444444444444444,1.35555555555556,0,0.0222222222222222,0.0222222222222222,0,0
"B3_4",0,0.00555555555555556,0,0,0,0.0222222222222222,0,0.194444444444444,0.566666666666667,0.0166666666666667,0.00555555555555556,0,0,0,0,0,0,0.0333333333333333,0,0,0,0.0444444444444444,0,0,0,0,0.144444444444444,0,0,0,0,0,0.00555555555555556,0.00555555555555556,0.444444444444444,0.00555555555555556,1.16666666666667,0,0.0111111111111111,0,0,0
"B3_5",0,0,0,0,0,0,0,0.383333333333333,0.205555555555556,0,0,0,0,0,0,0,0,0.0111111111111111,0,0.00555555555555556,0,0.0111111111111111,0,0.00555555555555556,0.00555555555555556,0,0,0,0,0,0,0,0,0.0722222222222222,0.511111111111111,0.0166666666666667,0.794444444444444,0.00555555555555556,0,0.00555555555555556,0,0
"B3_6",0.0111111111111111,0,0,0.00555555555555556,0.127777777777778,0.0222222222222222,0,0.227777777777778,0.488888888888889,0.0444444444444444,0,0,0.00555555555555556,0,0,0,0,0,0,0,0.00555555555555556,0.277777777777778,0.0166666666666667,0,0,0,0.00555555555555556,0,0,0,0,0,0,0,0.177777777777778,0,1.07222222222222,0,0,0,0,0
"B3_7",0.0222222222222222,0,0,0.0111111111111111,0.0777777777777778,0.0277777777777778,0,0.261111111111111,0.422222222222222,0.0222222222222222,0,0,0,0,0,0,0.0111111111111111,0,0,0.116666666666667,0.0388888888888889,0.327777777777778,0.00555555555555556,0,0,0,0,0,0,0,0.0166666666666667,0,0,0,0.0277777777777778,0,1.02777777777778,0,0,0,0,0
"B3_8",0,0,0,0,0.0111111111111111,0,0,0.305555555555556,0.627777777777778,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0.00555555555555556,0,0,0,0,0,0,0.00555555555555556,0,0,0,0,0,0,0.0611111111111111,0.00555555555555556,0.744444444444444,0,0.00555555555555556,0,0,0
"B3_9",0,0.00555555555555556,0,0,0,0,0,0.283333333333333,0.772222222222222,0.0166666666666667,0.00555555555555556,0,0,0,0,0,0,0,0.00555555555555556,0,0,0.0444444444444444,0.00555555555555556,0,0,0,0.0777777777777778,0,0,0,0,0,0.0222222222222222,0,0.155555555555556,0.00555555555555556,1.09444444444444,0,0.0111111111111111,0,0,0
"B4_1",0.0222222222222222,0,0,0.00555555555555556,0.0333333333333333,0.0111111111111111,0.0166666666666667,0.255555555555556,0.422222222222222,0.0222222222222222,0,0,0,0,0,0,0,0,0,0.0333333333333333,0.0333333333333333,0.322222222222222,0.0111111111111111,0,0,0,0.00555555555555556,0.00555555555555556,0,0,0,0,0,0,0.127777777777778,0,0.95,0,0,0,0.00555555555555556,0
"B4_10",0.0111111111111111,0,0,0,0.0277777777777778,0.0444444444444444,0,0.483333333333333,0.238888888888889,0.0166666666666667,0,0,0.00555555555555556,0,0,0,0,0,0,0.0555555555555556,0.0166666666666667,0.427777777777778,0,0.00555555555555556,0,0,0.00555555555555556,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0
"B4_2",0.00555555555555556,0,0.00555555555555556,0.00555555555555556,0.0388888888888889,0.0333333333333333,0,0.266666666666667,0.338888888888889,0.0166666666666667,0.0111111111111111,0,0,0,0,0,0,0,0,0.0444444444444444,0.0111111111111111,0.0333333333333333,0,0,0,0,0.0222222222222222,0,0.00555555555555556,0,0,0,0,0,0.144444444444444,0,0.688888888888889,0,0,0,0,0
"B4_3",0,0,0,0.00555555555555556,0.0944444444444444,0.00555555555555556,0,0.277777777777778,0.577777777777778,0.0833333333333333,0,0,0,0,0,0,0,0,0,0.0166666666666667,0.0111111111111111,0.111111111111111,0,0,0,0.00555555555555556,0,0,0,0,0.0333333333333333,0,0,0,0.0555555555555556,0,0.961111111111111,0,0,0,0,0
"B4_4",0.0111111111111111,0,0,0,0.0555555555555556,0,0,0.305555555555556,0.483333333333333,0.0444444444444444,0,0,0,0,0,0,0,0,0,0,0.00555555555555556,0.183333333333333,0.0111111111111111,0.00555555555555556,0,0,0.00555555555555556,0,0,0,0,0,0,0,0.205555555555556,0,0.972222222222222,0,0,0,0,0
"B4_6",0,0,0,0.0611111111111111,0.0277777777777778,0,0,0.227777777777778,0.222222222222222,0.0333333333333333,0,0,0,0,0,0,0,0,0,0.00555555555555556,0.00555555555555556,0.105555555555556,0,0,0.0111111111111111,0,0.0166666666666667,0,0,0,0,0,0,0,0.588888888888889,0.0111111111111111,1.01666666666667,0,0,0,0,0
"B4_7",0,0,0,0,0.0166666666666667,0.0277777777777778,0,0.133333333333333,0.666666666666667,0.05,0,0,0,0,0,0,0,0,0,0,0,0.00555555555555556,0,0,0.00555555555555556,0,0.0166666666666667,0.00555555555555556,0,0,0,0,0,0,0.255555555555556,0.0222222222222222,0.994444444444444,0,0,0.00555555555555556,0,0
"B4_8",0.0111111111111111,0,0,0,0,0.0722222222222222,0,0.205555555555556,0,0,0.133333333333333,0,0,0,0,0,0,0,0,0,0.00555555555555556,0.00555555555555556,0,0,0,0,0.205555555555556,0,0,0,0,0,0,0,0.711111111111111,0.0111111111111111,0.988888888888889,0,0,0.00555555555555556,0,0
"B4_9",0.0333333333333333,0,0,0,0.0333333333333333,0.00555555555555556,0,0.244444444444444,0.2,0.0277777777777778,0,0,0,0,0,0.00555555555555556,0,0,0,0.0166666666666667,0.00555555555555556,0.172222222222222,0,0.0166666666666667,0,0,0.0222222222222222,0.00555555555555556,0,0,0.105555555555556,0,0,0,0.138888888888889,0,0.761111111111111,0,0,0,0,0
"IL1_1",0,0,0,0.183333333333333,0.0388888888888889,0,0,0.372222222222222,0.544444444444444,0.0277777777777778,0,0,0,0,0,0,0,0.0111111111111111,0,0,0,0.0611111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0.0777777777777778,0,0.911111111111111,0,0,0,0,0.0111111111111111
"IL1_10",0,0,0,0,0,0.0277777777777778,0,0.133333333333333,0.677777777777778,0.0611111111111111,0.0222222222222222,0,0,0,0,0,0,0,0,0,0,0.0111111111111111,0,0,0.0222222222222222,0,0.0555555555555556,0,0,0,0,0,0,0,0.277777777777778,0,1.10555555555556,0,0,0,0,0
"IL1_3",0,0,0,0,0.00555555555555556,0.0444444444444444,0,0.166666666666667,0.138888888888889,0.0166666666666667,0.0222222222222222,0,0,0,0,0,0,0.05,0,0,0,0.00555555555555556,0,0,0,0,0.0555555555555556,0,0,0,0,0,0,0,0.661111111111111,0.0444444444444444,0.966666666666667,0,0.0166666666666667,0,0,0
"IL1_4",0.00555555555555556,0,0,0.0722222222222222,0.0333333333333333,0,0,0.327777777777778,0.372222222222222,0.00555555555555556,0,0,0.133333333333333,0,0.00555555555555556,0.00555555555555556,0.0111111111111111,0,0,0.0388888888888889,0,0.183333333333333,0,0,0,0,0.05,0,0,0,0,0,0,0,0.155555555555556,0,0.966666666666667,0,0,0,0,0
"IL1_5",0.0333333333333333,0,0,0,0.0388888888888889,0.0277777777777778,0,0.361111111111111,0.172222222222222,0.0111111111111111,0.00555555555555556,0.0111111111111111,0,0,0,0,0.0111111111111111,0,0,0.0166666666666667,0.0277777777777778,0.4,0.00555555555555556,0,0,0,0,0,0,0,0,0,0,0.00555555555555556,0.133333333333333,0,0.805555555555556,0,0,0,0.0111111111111111,0
"IL1_8",0,0,0,0.0111111111111111,0.0222222222222222,0.00555555555555556,0,0.177777777777778,0.583333333333333,0.00555555555555556,0.00555555555555556,0,0,0,0,0.00555555555555556,0,0.00555555555555556,0,0,0,0,0,0,0,0,0.0111111111111111,0,0,0,0,0,0,0,0.194444444444444,0.0111111111111111,0.833333333333333,0.00555555555555556,0,0.00555555555555556,0,0
"IL1_9",0,0,0.0166666666666667,0.0166666666666667,0.00555555555555556,0,0,0.0722222222222222,0.0888888888888889,0.0277777777777778,0,0,0,0,0,0,0,0,0,0,0,0.00555555555555556,0,0,0,0,0,0,0,0,0.277777777777778,0,0,0,0,0,0.433333333333333,0,0,0,0,0
"IL2_1",0.0222222222222222,0,0,0.0222222222222222,0.0333333333333333,0.0222222222222222,0,0.183333333333333,0.227777777777778,0.0222222222222222,0,0,0.0166666666666667,0,0,0,0,0,0,0.0388888888888889,0.0333333333333333,0.288888888888889,0,0,0,0,0,0,0.0222222222222222,0,0,0,0,0,0.116666666666667,0,0.766666666666667,0,0,0,0,0
