"","L.DenM2.S","D.DenM2.S","L.D.DenM2.S","L.RelCov.S","D.RelCov.S","L.D.RelCov.S","L.RelCov.LPI","D.RelCov.LPI","L.D.RelCov.LPI","L.PropIndM2.S","L.PropCov.LPI","PG.RelCov.LPI"
"M4_3",0.0277777777777778,0.172222222222222,0.2,9.43396226415094,58.4905660377358,67.9245283018868,4.27350432159398,2.56410255415297,6.83760687574695,0.138888888888889,0.625000003546875,0.431718062
"M4_4",0,0.0111111111111111,0.0111111111111111,0,2.32558139534884,2.32558139534884,0,4.04040396155494,4.04040396155494,0,0,0.190217392
"M4_5",0,0,0,0,0,0,0,5.81395357762304,5.81395357762304,NA,0,0.397515527
"M4_6",0.0277777777777778,0.283333333333333,0.311111111111111,5,51,56,2.59740257770282,1.29870128885141,3.89610386655422,0.0892857142857143,0.666666666666667,0.05479452
"M4_7",0.0333333333333333,0.0888888888888889,0.122222222222222,2.76497695852535,7.37327188940092,10.1382488479263,0,0,0,0.272727272727273,NA,0.193548387
"M4_9",0.611111111111111,0.0666666666666667,0.677777777777778,82.7067669172932,9.02255639097744,91.7293233082707,1.16279070676041,0,1.16279070676041,0.901639344262295,1,0.458333333
"1",0,0,0,0,0,0,6.4102563923844,5.12820515373658,11.538461546121,NA,0.55555555363786,0.854077252
"2",0.0277777777777778,0.122222222222222,0.15,4.85436893203883,21.3592233009709,26.2135922330097,0,0,0,0.185185185185185,NA,0.796703296
"10",0,0.155555555555556,0.155555555555556,0,17.3913043478261,17.3913043478261,1.43540668706074,3.34928233392322,4.78468902098395,0,0.29999999598,0.935323382
"11",0.00555555555555556,0.0888888888888889,0.0944444444444445,2.56410256410256,41.025641025641,43.5897435897436,0,0,0,0.0588235294117647,NA,0.821052631
"12",0,0,0,0,0,0,0,0,0,NA,NA,0.83695652
"14",0,0,0,0,0,0,0,1.10497236974757,1.10497236974757,NA,0,0.836158193
"15",0.00555555555555556,0,0.00555555555555556,0.432900432900433,0,0.432900432900433,0,1.21951219391731,1.21951219391731,1,0,0.895061728
"16",0.0277777777777778,0.0666666666666667,0.0944444444444445,3.84615384615385,9.23076923076923,13.0769230769231,0,1.39534879567117,1.39534879567117,0.294117647058824,0,0.895734595
"17",0,0.00555555555555556,0.00555555555555556,0,0.578034682080925,0.578034682080925,12.0370370196073,5.55555551702675,17.5925925366341,0,0.684210527501385,0.742990655
"18",0,0.0111111111111111,0.0111111111111111,0,1.36054421768707,1.36054421768707,0,0,0,0,NA,0.776470588
"19",0.388888888888889,0.127777777777778,0.516666666666667,41.9161676646707,13.7724550898204,55.688622754491,0,3.44827589621199,3.44827589621199,0.752688172043011,0,0.960199005
"20",0,0,0,0,0,0,5.88235298127643,6.53594771369132,12.4183006949677,NA,0.473684212177285,0.859060403
"21",0,0.188888888888889,0.188888888888889,0,36.9565217391304,36.9565217391304,0,4.34782604801512,4.34782604801512,0,0,0.927184466
"23",0,0.0277777777777778,0.0277777777777778,0,3.6231884057971,3.6231884057971,1.62162165652593,1.62162165652593,3.24324331305186,0,0.5,0.944751381
"24",0.127777777777778,0.211111111111111,0.338888888888889,23,38,61,0,2.94117647058824,2.94117647058824,0.377049180327869,0,0.98
"32",0.0111111111111111,0.0666666666666667,0.0777777777777778,1.88679245283019,11.3207547169811,13.2075471698113,0,0.578034687761034,0.578034687761034,0.142857142857143,0,0.905882353
"33",0.00555555555555556,0,0.00555555555555556,2.4390243902439,0,2.4390243902439,0,9.62566843288627,9.62566843288627,1,0,0.864130435
"38",0.144444444444444,0.105555555555556,0.25,20.8,15.2,36,0,0,0,0.577777777777778,NA,0.943820225
"39",0.0722222222222222,0.0333333333333333,0.105555555555555,43.3333333333333,20,63.3333333333333,2.70270271316289,3.24324323644412,5.94594594960701,0.684210526315789,0.454545456024793,0.944134078
"40",0.0444444444444444,0.0777777777777778,0.122222222222222,30.7692307692308,53.8461538461538,84.6153846153846,1.11111112292593,3.33333336877778,4.4444444917037,0.363636363636364,0.25,0.827586207
"42",0.0888888888888889,0.3,0.388888888888889,17.0212765957447,57.4468085106383,74.468085106383,9.19540234429911,4.02298847620558,13.2183908205047,0.228571428571429,0.695652176514178,0.773255814
"43",0.227777777777778,0.216666666666667,0.444444444444445,50.6172839506173,48.1481481481481,98.7654320987654,0,1.18343194869227,1.18343194869227,0.5125,0,0.969135804
"44",0.194444444444444,0.216666666666667,0.411111111111111,16.9902912621359,18.9320388349515,35.9223300970874,0,0,0,0.472972972972973,NA,0.881889764
"47",0.0666666666666667,0.155555555555556,0.222222222222223,8.21917808219178,19.1780821917808,27.3972602739726,0,0,0,0.3,NA,0.834745762
"48",0.25,0.183333333333333,0.433333333333333,37.5,27.5,65,0,0,0,0.576923076923077,NA,0.870129869
"50",0.355555555555556,0.116666666666667,0.472222222222223,47.7611940298507,15.6716417910448,63.4328358208955,0.450450470517815,10.3603603376755,10.8108108081933,0.752941176470588,0.0416666685329861,0.888372093
"57",0.0222222222222222,0.277777777777778,0.3,6.55737704918033,81.9672131147541,88.5245901639344,0.729927048707976,5.10948904752517,5.83941609623315,0.0740740740740741,0.12500000628125,0.753731344
"59",0.0222222222222222,0.0555555555555556,0.0777777777777778,0.78740157480315,1.96850393700787,2.75590551181102,0,5.2631579098615,5.2631579098615,0.285714285714286,0,0.972527472
"60",0,0.116666666666667,0.116666666666667,0,9.21052631578947,9.21052631578947,5.41871920183455,2.46305417387464,7.88177337570919,0,0.687500000765625,0.913265308
"61",0.0111111111111111,0.0388888888888889,0.05,3.7037037037037,12.962962962963,16.6666666666667,0,1.47783247540586,1.47783247540586,0.222222222222222,0,0.96923077
"67",0,0.0166666666666667,0.0166666666666667,0,5,5,0,0.515463908390902,0.515463908390902,0,0,0.832460733
"68",0.00555555555555556,0.0388888888888889,0.0444444444444445,0.510204081632653,3.57142857142857,4.08163265306122,6.70103094014242,3.09278351848762,9.79381445863003,0.125,0.684210525781164,0.683937823
"73",0,0.261111111111111,0.261111111111111,0,63.5135135135135,63.5135135135135,3.57142857142857,1.19047619047619,4.76190476190476,0,0.75,0.375
"77",0.0222222222222222,0.122222222222222,0.144444444444444,9.52380952380952,52.3809523809524,61.9047619047619,2.8985507021214,5.31400965292305,8.21256035504446,0.153846153846154,0.352941175079585,0.825870646
"80",0.405555555555556,0.305555555555556,0.711111111111112,48.6666666666667,36.6666666666667,85.3333333333333,0.851063874803078,3.82978724427343,4.6808511190765,0.5703125,0.181818189289256,0.955752213
"82",0.0944444444444444,0.227777777777778,0.322222222222222,18.8888888888889,45.5555555555556,64.4444444444444,0,2.56410259976989,2.56410259976989,0.293103448275862,0,0.896774194
"90",0.116666666666667,0.172222222222222,0.288888888888889,36.8421052631579,54.3859649122807,91.2280701754386,0,3.37078650344653,3.37078650344653,0.403846153846154,0,0.870056497
