id,Elevation,Aspect,Slope,SlopeShape,CarbonateStage,BioticCrustClass,DepthClass,PedonDepth,Depth200,H1.DryRed,H1.DryValue,H1.DryCClass,H1.MoistRed,H1.MoistValue,H1.MoistCClass,H1.Texture,H1.SandPercent,H1.SandSize,H1.ClayPercent,H1.pH,H1.EfferScale,H1.Depth,H1.DWA_AWC,Tot.DryRed,Tot.DryValue,Tot.DryCClass,Tot.MoistRed,Tot.MoistValue,Tot.MoistCClass,Tot.Texture,Tot.SandSize,Tot.EfferScale,DWAClay,DWASand,DWApH,DWA.AWHC,Sand.50,Clay.50,pH.50,DryValue.50,EfferScale.50,AWHC.50,MaxClay,MaxSand,MaxpH,MaxDryValue,MaxAWHC,MaxEffervescence
IL3_6,1889.478176,180,5,LL,1,1,Deep,74,0,2,5,2,2,4,2,SL,70,F,7,7.6,0,7,0.44519215,2,5,3,3,4,2,SL,F,3,7,70,8.091891892,9.285436264,70,7,8.3,7,4,9.285436264,7,70,8.3,7,9.285436264,4
IL3_7,1884.90612,230,5,CC,1,1,ModeratelyDeep,27,0,2,5,2,2,4,2,SL,70,F,7,7.4,0,4,0.501915474,3,5,3,2,4,2,SL,F,3,7,62.96296296,7.981481481,10.87339123,60,7,8.1,5,3,11.54200385,7,70,8.1,5,11.54200385,3
IL3_9,1877.895635,150,2,CL,1,1,Shallow,106,0,2,6,2,2,4,2,LS,80,F,7,7.8,1,6,1.2522362,2,6,3,2,5,3,SL,F,3,6.603773585,71.55660377,8.216981132,8.711291101,70,7,8.2,6,3,9.285436264,7,75,8.4,8,9.285436264,4
IL4_10,1895.879054,90,10,VV,1,5,Shallow,200,1,2,6,2,2,4,2,SL,60,VF,3,7.4,2,7,2.59063093,2,8,3,2,5,2,SL,VF,3,3,69.55,8.168,8.941012396,65,3,8,7,3,10.49185197,3,75,8.4,8,10.49185197,4
IL4_2,1867.837113,240,5,VV,0,2,VeryDeep,200,1,2,7,2,2,5,2,SL,70,F,5,7.8,2,7,0.320435632,2,8,2,2,6,2,SL,F,3,5,71.4,8.316,8.336958021,70,5,8.2,7,3,9.155303766,5,80,8.4,8,10.46442617,3
IL4_3,1882.772495,60,8,LV,1,1,VeryDeep,25,0,2,5,2,2,3,2,SiL,40,F,3,7.8,2,6,0.597082519,3,6,2,3,4,2,L,F,3,12.12,36.2,8.028,18.84678145,35,15,8.1,6,3,18.5133175,15,35,8.1,6,18.5133175,3
IL4_4,1893.745428,200,5,CL,1,6,Shallow,15,0,3,7,3,3,5,2,SL,65,MIX,7,7.6,2,7,2.923940622,3,6,3,3,5,2,SL,MIX,3,7,67.66666667,7.706666667,9.825467045,70,7,7.8,6,3,9.285436264,7,70,7.8,6,9.285436264,3
IL4_5,1870.88515,80,8,VV,1,1,VeryShallow,23,0,2,6,2,2,4,2,SL,75,F,7,7.8,2,6,3.107327656,2,5,3,2,4,2,LS,F,3,5.52173913,78.69565217,8.02173913,5.781054599,80,5,8.1,5,3,5.079667113,5,80,8.1,5,5.079667113,3
IL4_7,1869.056328,180,1,VV,0,1,VeryShallow,200,1,2,5,2,2,3,2,SL,60,F,3,7.4,2,6,3.089448065,3,6,2,3,4,2,SL,F,3,7.355,63.125,8.176,10.82794286,60,7,8.2,6,3,11.54200385,10,70,8.2,7,11.54200385,3
IL4_8,1885.515728,260,11,VV,0,6,VeryDeep,10,0,2,7,2,2,5,2,SL,70,F,5,8.1,2,10,0.457765188,2,7,2,2,5,2,SL,F,2,5,70,8.1,9.155303766,70,5,8.1,7,2,9.155303766,.,.,.,.,.,.
IL4_9,1888.258961,300,8,CC,0,0,VeryShallow,32,0,2,6,2,2,4,2,SL,65,F,5,7.6,2,9,9.417983553,2,6,2,2,4,2,SL,F,3,3.5625,65,7.74375,10.48413846,65,3,7.8,6,3,10.49185197,3,65,7.8,6,10.49185197,3
M1_1,1890.697391,191,3,CC,0,0,VeryDeep,182,0,2,6,2,2,4,2,LS,80,F,7,7.8,1,8,0.247695072,2,7,2,2,5,2,SL,F,3,7.857142857,70.71428571,8.314285714,8.935579601,75,7,8.2,6,2,7.768319141,10,75,8.6,7,10.43140426,3
M1_10,1878.810046,320,5,LL,1,0,VeryDeep,200,1,2,6,2,2,4,2,SL,70,F,7,7.3,1,6,0.325804781,2,6,2,2,4,2,SL,F,2,7.26,68.85,8.016,9.384031538,70,7,8,6,2,9.285436264,10,75,8.1,7,11.35524954,3
M1_2,1894.964643,321,2,LL,1,1,VeryDeep,187,0,2,5,2,2,4,2,SL,70,F,5,8,2,4,0.183106075,2,6,2,2,4,2,SL,F,4,5,70,8.195721925,9.155303766,70,5,8.2,6,3,9.155303766,5,70,8.2,7,9.155303766,4
M1_4,1888.258961,270,2,LV,1,1,VeryDeep,171,0,1,5,2,2,4,1,LS,80,F,5,7.6,0,4,0.108655981,2,7,2,2,5,3,LS,M,3,5.339181287,79.15204678,8.246783626,5.53563734,75,7,8.2,6,3,7.768319141,7,80,8.4,7,7.768319141,3
M1_5,1863.874665,220,1,CC,0,0,VeryDeep,131,0,2,6,2,2,4,2,SL,60,F,7,6.6,0,6,0.404982591,3,6,2,3,4,2,L,F,3,18.22137405,44.73282443,7.992366412,14.37788826,40,25,8.2,7,3,14.20748947,25,65,8.2,7,17.61520455,3
M1_6,1894.659839,0,2,CC,1,1,Deep,181,0,2,7,2,2,4,2,SL,70,VF,5,7.6,2,9,0.628990335,2,8,2,2,6,2,SL,VF,4,6.900552486,74.75138122,8.274033149,7.837285227,75,7,8.2,7,3,7.768319141,7,75,8.4,8,7.768319141,4
M1_7,1894.964643,340,5,LV,1,1,VeryDeep,200,1,2,5,2,2,4,1,SL,70,F,5,7.5,3,8,0.40465431,2,5,2,2,4,2,SL,F,3,7.375,65.25,7.79,10.20027801,70,5,8,5,3,9.155303766,10,70,8,6,11.35524954,3
M1_8,1875.152402,330,1,CL,1,0,VeryDeep,171,0,2,5,2,2,3,2,SL,75,F,7,8,3,7,0.27189117,2,7,2,2,4,2,SL,F,3,6.771929825,72.39766082,8,8.454670211,70,7,8,6,3,9.285436264,10,75,8,7,9.493314452,3
M2_1,1872.713972,60,5,CV,1,1,Deep,112,0,2,6,3,2,4,2,SL,70,F,15,6.6,0,4,0.353061646,2,6,3,2,5,3,SL,F,3,12.54464286,67.63392857,8.128571429,9.975897477,70,10,8.2,6,3,9.493314452,15,70,8.6,8,10.48349657,4
M2_10,1883.686906,350,3,LL,0,1,VeryDeep,200,1,2,6,2,2,6,2,SL,75,F,5,7.6,2,6,0.247677801,2,7,2,2,7,2,LS,F,3,3.56,74.025,8.0855,7.478611965,75,3,8,7,3,7.092383724,5,80,8.2,8,9.155303766,3
M2_3,1864.179468,40,5,LL,0,1,VeryDeep,63,0,2,5,2,2,4,2,LS,80,F,7,7.4,0,5,0.140876572,2,6,2,2,4,2,LS,F,3,9.19047619,80,7.987301587,6.283632432,80,10,8.1,6,3,6.523321172,10,80,8.6,7,6.523321172,3
M2_5,1892.831017,20,1,LV,1,1,ModeratelyDeep,176,0,2,6,2,2,3,2,SL,70,F,5,7.6,1,4,0.581289128,2,7,2,2,4,2,SL,VF,3,5.840909091,69.48863636,8.234090909,9.233855145,70,5,8.2,7,3,9.155303766,7,75,8.4,7,11.68708431,3
M2_6,1859.607413,10,4,LL,1,0,VeryDeep,186,0,2,6,2,2,4,2,SL,70,F,5,7.4,3,7,0.3641314,3,7,2,3,4,2,SL,F,3,10.56989247,63.30645161,7.54516129,9.977830412,75,5,7.6,7,3,7.430334021,18,80,7.6,7,14.05416649,3
M2_7,1873.32358,310,1,LV,0,1,VeryDeep,200,1,2,5,2,2,5,2,SL,60,F,5,8.1,3,8,0.502670293,2,7,2,2,7,2,LS,F,3,5.48,78,8.035,5.989240288,80,5,8.1,6,3,5.079667113,7,80,8.1,7,7.768319141,3
