PedonID,HzNum,Method,Top,Bottom,Horizon,DryHue,DryValue,DryChroma,MoistHue,MoistValue,MoistChroma,RF_knd,RF_perc,RF_sz,Texture,Psand,SandSize,Pclay,pH,Effer
CLHS47P,3,Soil pit/auger,36,102,Bw2,10YR,7,4,10YR,4,6,CAN,1,GR,VFSL,75,VF,8,8.3,VE
CLHS47P,4,auger,102,125,Bw3,10YR,6,6,10YR,3,6,NA,0,NA,VFSL,75,VF,11,8.6,VE
CLHS47P,5,auger,125,133,Bw4,10YR,6,6,10YR,3,6,NA,0,NA,VFSL,70,VF,15,8.6,VE
CLHS47P,6,auger,133,150,Bw5,10YR,6,6,10YR,4,6,CAN,1,GR,VFSL,80,VF,6,8.2,VE
CLHS48P,1,Soil pit,0,11,A,5YR,5,6,5YR,3,4,CAN,1,GR,LS,75,VF,4,NA,ST
CLHS48P,2,Soil pit,11,30,Bw1,5YR,6,6,5YR,4,4,SST,5,GR,LS,80,VF,9,8.2,VE
CLHS48P,3,Soil pit/auger,30,80,Bw2,5YR,7,4,5YR,4,6,SST,5,GR,LS,85,VF,7,8.4,VE
CLHS48P,4,NA,80,80,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLHS49P,1,Soil pit,0,8,A,5YR,6,6,5YR,4,4,CAN,1,GR,LS,85,VF,6,8.1,SL
CLHS49P,2,Soil pit,8,31,Bk1,5YR,6,6,5YR,4,6,CAN,1,GR,LS,80,VF,5,8.3,VE
CLHS49P,3,Soil pit/auger,31,103,Bk2,5YR,7,4,5YR,5,6,CAN,1,GR,SL,78,VF,8,8.6,VE
CLHS49P,4,Auger,103,150,Bw,5YR,7,4,5YR,5,6,SST,1,GR,S,90,F,5,8.7,VE
CLHS50P,1,soil pit,0,9,A,5YR,5,6,5YR,4,4,SST,5,GR,LS,85,VF,7,8.1,VE
CLHS50P,2,soil pit,9,26,Bw,5YR,5,6,5YR,4,6,SST,1,GR,LS,85,VF,10,8.3,VE
CLHS50P,3,NA,26,26,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLHS57P,1,Soil pit,0,6,A,5YR,6,6,5YR,4,6,NA,0,NA,VFSL,74,VF,10,7.6,SL
CLHS57P,2,Soil pit/Auger,6,30,Ab,5YR,6,6,5YR,4,6,NA,0,NA,VFSL,72,VF,12,8,ST
CLHS57P,3,Auger,30,53,Bkk,5YR,8,4,5YR,6,6,NA,0,NA,FSL,75,F,9,8.2,VE
CLHS57P,4,Auger,53,70,Bk1,5YR,7,4,5YR,5,4,NA,0,NA,FSL,74,F,10,8.2,VE
CLHS57P,5,Auger,70,87,Bk2,5YR,7,6,5YR,5,6,NA,0,NA,FSL,74,F,10,8.2,VE
CLHS57P,6,Auger,87,87,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLHS59P,1,Soil pit,0,3,A,7.5YR,5,4,7.5YR,3,2,NA,0,NA,VFSL,76,VF,12,7.8,SL
CLHS59P,2,Soil pit,3,21,BA,5YR,5,4,5YR,3,4,NA,0,NA,LVFS,80,VF,10,8,ST
CLHS59P,3,Soil pit/Auger,21,65,Bk,5YR,6,4,5YR,3,4,NA,0,NA,LFS,80,F,10,8.1,VE
CLHS59P,4,Auger,65,149,Bk,5YR,7,4,5YR,4,4,NA,0,NA,LFS,82,F,8,8.2,VE
CLHS60P,1,Soil Pit,0,4,A,5YR,5,4,7.5YR,3,4,NA,0,NA,VFSL,74,VF,9,7.6,SL
CLHS60P,2,Soil Pit,4,18,AB,5YR,5,6,5YR,4,4,NA,0,NA,VFSL,72,VF,9,7.7,ST
CLHS60P,3,Soil Pit/Auger,18,96,Bk,7.5YR,6,4,7.5YR,4,4,NA,0,NA,FSL,75,F,8,8.1,VE
CLHS60P,4,Auger,96,149,Btk,7.5YR,7,3,5YR,4,4,NA,0,NA,VFSL,55,VF,19,8.2,VE
CLHS61P,1,Soil pit,0,5,A,5YR,6,4,5YR,4,4,NA,0,NA,FSL,75,F,8,7.8,NE
CLHS61P,2,Soil pit,5,11,AB,5YR,4,6,7.5YR,3,4,NA,0,NA,FSL,73,F,10,8,VS
CLHS61P,3,Soil pit/Auger,11,44,Bk1,7.5YR,6,4,7.5YR,4,4,NA,0,NA,FSL,73,F,10,8.1,VE
CLHS61P,4,Auger,44,121,Bk2,7.5YR,7,4,7.5YR,4,4,NA,0,NA,FSL,74,F,9,8.2,VE
CLHS61P,5,Auger,121,149,Bk2,5YR,7,4,5YR,5,4,NA,0,NA,FSL,75,F,8,8.6,VE
CLHS67P,1,Soil pit,0,8,A,5YR,5,3,5YR,4,3,NA,0,NA,VFSL,73,VF,10,NA,NA
CLHS67P,2,Soil pit,8,21,AB,5YR,5,4,5YR,4,3,GR,3,FG,VFSL,70,VF,12,NA,NA
CLHS67P,3,Soil pit/auger,21,56,BA,5YR,6,4,5YR,4,4,NA,0,NA,FSL,72,F,10,NA,NA
CLHS67P,4,Auger,56,83,Bk,5YR,7,3,5YR,4,6,NA,0,NA,FSL,76,F,9,NA,NA
CLHS67P,5,Auger,83,107,Bw,7.5YR,7,4,5YR,4,6,NA,0,NA,LFS,78,F,6,NA,NA
CLHS67P,6,Auger,107,122,Cr,2.5YR,7,3,2.5YR,4,4,GR,8,MG,FSL,74,F,10,NA,NA
CLHS67P,7,Auger,122,122,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLHS68P,1,Soil pit,0,5,A,5YR,5,3,5YR,3,2,NA,0,NA,FSL,75,F,9,8,SL
CLHS68P,2,Soil pit/auger,5,67,BA,5YR,6,4,5YR,4,3,NA,0,NA,FSL,77,F,8,8.1,ST
CLHS68P,3,Auger,67,139,Bw,5YR,7,4,7.5YR,4,4,NA,0,NA,LMS,84,M,4,8.2,ST
CLHS73P,1,Soil pit,0,5,A,5YR,5,4,5YR,4,3,NA,0,NA,VFSL,74,VF,11,7.9,NE
CLHS73P,2,Soil pit,5,17,AB,5YR,4,6,2.5YR,3,4,NA,0,NA,VFSL,68,VF,13,8,NE
CLHS73P,3,Soil pit/Auger,17,52,NA,5YR,6,6,5YR,4,4,NA,0,NA,VFSL,73,VF,11,8.1,ST
CLHS73P,4,Auger,52,87,B,5YR,7,6,5YR,5,6,NA,0,NA,FSL,74,F,10,8.2,VE
CLHS73P,5,Auger,87,96,Cr,5YR,8,2,5YR,5,4,NA,0,NA,LS,79,F,7,8.4,VE
CLHS77P,1,Soil pit,0,9,A,5YR,4,4,2.5YR,3,2,NA,0,NA,VFSL,75,VF,9,8,NE
CLHS77P,2,Soil pit,9,22,AB,5YR,4,4,5YR,3,3,NA,0,NA,VFSL,72,VF,12,8.1,VS
CLHS77P,3,Soil pit/auger,22,47,B,5YR,5,4,5YR,3,3,NA,0,NA,VFSL,72,VF,15,8.2,ST
CLHS77P,4,Auger,47,58,Bkk,5YR,8,3,5YR,4,3,CH.GR,15,NA,FSL,75,F,13,8.4,VE
CLHS77P,5,Auger,58,58,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLHS80P,1,Soil Pit,0,6,NA,5YR,5,4,5YR,3,3,NA,0,NA,VFSL,76,VF,10,8,NE
CLHS80P,2,Soil Pit,6,21,NA,5YR,4,6,5YR,4,4,NA,0,NA,VFSL,75,VF,11,8,NE
CLHS80P,3,Soil Pit/Auger,21,54,NA,5YR,5,6,5YR,4,4,NA,0,NA,VFSL,73,VF,13,8.3,VE
CLHS80P,4,Auger,54,90,NA,5YR,7,4,5YR,5,4,NA,0,NA,VFSL,72,VF,14,8.6,VE
CLHS80P,5,Auger,90,136,NA,5YR,6,4,5YR,4,6,NA,0,NA,VFSL,70,VF,12,8.6,VE
CLHS80P,6,Auger,136,152,NA,7.5YR,8,1,7.5YR,7,4,NA,0,NA,SL,75,M,9,8.4,VE
CLHS82P,1,Soil pit,0,5,A,5YR,7,6,5YR,4,4,NA,0,NA,LVFS,80,VF,9,7.9,ST
CLHS82P,2,Soil pit/Auger,5,64,Bk,7.5YR,7,4,5YR,4,6,NA,0,NA,LVFS,80,VF,8,8.1,VE
CLHS82P,3,Auger,64,64,Cr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLHS85P,1,Soil pit,0,6,NA,5YR,5,4,5YR,4,3,GR,5,F.M,VFSL,76,"Vf, M",10,8.2,VE
CLHS85P,2,Soil pit/auger,6,37,NA,5YR,5,4,5YR,4,4,NA,0,NA,FSL,73,F,12,8.2,VE
CLHS85P,3,Auger,37,73,NA,5YR,6,4,5YR,4,4,NA,0,NA,FSL,75,F,10,8.4,VE
CLHS85P,4,Auger,73,110,NA,2.5YR,7,4,5YR,5,4,NA,0,NA,FSL,75,F,10,8.6,VE
CLHS85P,5,Auger,110,123,NA,5YR,7,4,5YR,4,4,GR,15,F.M,SL,76,M,9,8.6,VE
CLHS85P,6,Auger,123,123,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLHS90P,1,Soil pit,0,7,A,7.5YR,6,6,7.5YR,4,6,CAN,2.5,GR,LS,80,VF ,5,8,SL
CLHS90P,2,Soil pit,7,25,Bw,7.5YR,6,6,7.5YR,4,6,CAN,5,GR,LS,85,VF ,5,8.2,VE
CLHS90P,3,NA,25,25,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLHS97P,1,Soil pit,0,4,A,7.5YR,6,4,7.5YR,4,4,NA,0,NA,LVFS,80,VF,9,NA,NA
CLHS97P,2,Soil pit/Auger,4,55,BwA,5YR,6,6,5YR,4,4,NA,0,NA,VFSL,78,VF,10,NA,NA
CLHS97P,3,Auger,55,97,Bk,5YR,7,4,5YR,4,6,GR,4,F,VFSL,75,VF,10,NA,NA
CLHS97P,4,Auger,97,145,Bk,7.5YR,7,4,5YR,4,6,GR,2,F,VFSL,77,VF,9,NA,NA
CLHS97P,5,Auger,145,145,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CLHS98P,1,Soil pit,0,4,A,5YR,6,4,5YR,4,4,NA,0,NA,VFSL,74,VF,9,7.4,NE
