"","ACHY","AMID","ARPU9","ARTR2","ARTR2.D","ATCA2","ATCA2.D","Bare.Soil","BOGR2","BOGR2.D","BRTE","CHLE4","CHVI8","CLLU2","ECCOC","ELEL5","EPVI","ERCI6","GRFA","GUSA2","GUSA2.D","HECO26","HECO26.D","JUOS","KRLA2","LAOC3","LEMO2","OPPO","OPPO.D","PEPU7","PIED","PLPA2","SALSO","SALSO.D","SPCO","SPCR","SPCR.D","CHVI8.D","HIJA"
"IL3_2",0,0,0,3.66666666666667,1.66666666666667,3.66666666666667,0.333333333333333,16.3333333333333,28.6666666666667,2,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10.3333333333333,0.333333333333333,0,0
"IL3_3",0,0,0,0,4.33333333333333,0.333333333333333,0,8,21,0,0,0,0.333333333333333,0,0,0,1,0,0,0.333333333333333,1,37,1.66666666666667,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0.333333333333333,0,0,0
"IL3_4",0,0,0,7.66666666666667,2,0.333333333333333,0,19.3333333333333,24.6666666666667,2,0.333333333333333,0,2.33333333333333,0,0,0.333333333333333,0,0,0.333333333333333,0,0,10.3333333333333,0.333333333333333,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,6,0.333333333333333,0,0
"IL3_6",0,0,0,4.66666666666667,2,0,0,23.3333333333333,25,0.666666666666667,0,0,0,0,0,0,0,0.666666666666667,0,0,0,2.33333333333333,0,0,0.666666666666667,0,0,0.333333333333333,0,0,0,0,0,0,0,12.6666666666667,0,0,0
"IL3_7",0,0.333333333333333,0,1.33333333333333,1.66666666666667,1.66666666666667,0,14.6666666666667,33.6666666666667,0,3,0,0.333333333333333,0,0,0,0,0,0.333333333333333,1.66666666666667,0.333333333333333,14.3333333333333,0,0,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0,0,7.66666666666667,0,0,0
"IL3_9",0.333333333333333,0,0.333333333333333,7.33333333333333,4.33333333333333,0,0,19,17.6666666666667,2.66666666666667,0.333333333333333,0,0,0,0,0,0.333333333333333,0,0,2,1,23.3333333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0.333333333333333,0.333333333333333,0
"IL4_10",1.33333333333333,0,0,5.66666666666667,1.33333333333333,1.66666666666667,0.333333333333333,14.3333333333333,24.3333333333333,0.666666666666667,0,0,1,0,0,0,0,0,0,0,0,11.6666666666667,0,0,0,0.333333333333333,0,1.66666666666667,0,0,0,0,0,0,0,10.6666666666667,0,0,0
"IL4_2",0.333333333333333,0,0,0.333333333333333,2.33333333333333,4.33333333333333,0.666666666666667,13.6666666666667,14.6666666666667,1.66666666666667,1,0,0,0,0,0,0,0,0,0.333333333333333,0.666666666666667,4,0,0,0,0.333333333333333,0,0.333333333333333,0,0,3,0,0,0,0,28.3333333333333,0.666666666666667,0,0
"IL4_3",0,0,0,0,1,0.666666666666667,0,15,23.3333333333333,1,0,0,0,0,0,0,0,0,0,1,0,28,0,0,0.333333333333333,0,0,1.66666666666667,0,0,0,0,0,0,0,3.66666666666667,0,0,0
"IL4_4",0,0,0,0,1.66666666666667,0.666666666666667,0,11.6666666666667,18.3333333333333,3,0,0,0,0,0.666666666666667,0,0.333333333333333,0,0,2.33333333333333,1.66666666666667,9.33333333333333,0,0,0,0,0,0.333333333333333,0.333333333333333,0,3.33333333333333,0,0,0,0,2.33333333333333,0,0,0
"IL4_5",0.666666666666667,0,0,0.333333333333333,1.33333333333333,1.33333333333333,0,11.3333333333333,24.3333333333333,1.66666666666667,0,0,1,0,0,0,0,0,0,2,0.333333333333333,24.3333333333333,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,6,0,0,0
