,ACHY,AMID,ARPU9,ARTR2,ARTR2.D,ATCA2,ATCA2.D,Bare.Soil,BOGR2,BRTE,CHLE4,ECCOC,ELEL5,EPVI,ERCI6,GRFA,GUSA2,GUSA2.D,HECO26,JUOS,KRLA2,LEMO2,OPPO,OPPO.D,PEPU7,PHAU3,PIED,PIED.D,PLPA2,SALSO,SPCR,CLLU2,LAOC3,SALSO.D,SPCO,HIJA
B4_7,0,0,0,0,1,1.666666667,0,8,43,0,0,0,0,0,0,0,0,0,0.333333333,0,0.333333333,0,1,0.333333333,0,0,0,0,0,0,16.66666667,0,0,0.333333333,0,0
B4_8,0.666666667,0,0,0,0,4.333333333,0,12.33333333,0,8,0,0,0,0,0,0,0,0.333333333,0.333333333,0,0,0,12.33333333,0,0,0,0,0,0,0,43.33333333,0,0,0.333333333,0,0
B4_9,2,0,0,0,2,0.333333333,0,14.66666667,13.66666667,0,0,0,0.333333333,0,0,0,1,0.333333333,10.33333333,1,0,0,1.333333333,0.333333333,0,0,6.333333333,0,0,0,8.333333333,0,0,0,0,0
IL1_1,0,0,0,11,2.333333333,0,0,22.33333333,34.33333333,0,0,0,0,0,0.666666667,0,0,0,3.666666667,0,0,0,0,0,0,0,0,0,0,0,4.666666667,0,0,0,0,0.666666667
IL1_10,0,0,0,0,0,1.666666667,0,8,44.33333333,1.333333333,0,0,0,0,0,0,0,0,0.666666667,0,1.333333333,0,3.333333333,0,0,0,0,0,0,0,16.66666667,0,0,0,0,0
IL1_3,0,0,0,0,0.333333333,2.666666667,0,10,9.333333333,1.333333333,0,0,0,0,3,0,0,0,0.333333333,0,0,0,3.333333333,0,0,0,0,0,0,0,42.33333333,0,1,0,0,0
IL1_4,0.333333333,0,0,4.333333333,2,0,0,19.66666667,22.66666667,0,0,0.333333333,0.333333333,0.666666667,0,0,10.33333333,0,11,0,0,0,3,0,0,0,0,0,0,0,9.333333333,0,0,0,0,0
IL1_5,2,0,0,0,2.333333333,1.666666667,0,21.66666667,11,0.333333333,0.666666667,0,0,0.666666667,0,0,1,1.666666667,24.33333333,0,0,0,0,0,0,0,0,0,0,0.333333333,8,0,0,0,0.666666667,0
IL1_8,0,0,0,0.666666667,1.333333333,0.333333333,0,10.66666667,35.33333333,0.333333333,0,0,0.333333333,0,0.333333333,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0,12.33333333,0.333333333,0,0.333333333,0,0
IL1_9,0,0,1,1,0.333333333,0,0,4.333333333,7,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,16.66666667,0,0,0,0,0,0,0,0,0
IL2_1,1.333333333,0,0,1.333333333,2,1.333333333,0,11,15,0,0,0,0,0,0,0,3.333333333,2,17.33333333,0,0,0,0,0,1.333333333,0,0,0,0,0,7,0,0,0,0,0
IL2_10,0,0,0,2,3.666666667,1.333333333,0,12.66666667,26,0,0,0.333333333,0,0,0,0,5,1,19,0,0.333333333,0,0,0,0,0,0,0,0,0,8.333333333,0,0,0,0,0
IL2_2,0,0,0,0,0.333333333,1,0,21.33333333,25,1,0,0,0.333333333,0,0.333333333,0,0,0,0.333333333,0,0.666666667,0,0.666666667,0.666666667,0,0,0,0,0,0,21,0,0,0,0,0
IL2_3,0.333333333,0,0.333333333,0.666666667,3,1,0,12.66666667,45.66666667,0,0,0,0,0,0,0,1,0,6.333333333,0,0,0,0.333333333,0,0,0,0,0,0.333333333,0,16.33333333,0,0,0,0,0
IL2_4,0,0,0.333333333,0,1.333333333,0,0,19.33333333,4,1,0,0,0.333333333,0,0.333333333,0,0,0,13.66666667,0,0,0,2,0,0,0,0,0,0,0,27.33333333,0,0,0,1,0
IL2_5,0,0.333333333,0,0,0,0,0,13.66666667,8.666666667,0,0,0,0,0,1,0.333333333,0,0,1.333333333,0,1,0,4.666666667,0,0,0,0,0,1,0.333333333,44,0,0.666666667,0,0,0
IL2_7,1,0,0,6.333333333,5,0.333333333,0,21,22.33333333,0.333333333,0,0,0,1,0,0,3.333333333,0,14.33333333,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
IL2_8,0,0,0.333333333,3,1.333333333,2,0,14.33333333,6.666666667,0.666666667,0,0.333333333,0,0,2.333333333,0,2.666666667,0.666666667,2.333333333,0,0,0,1,0,0,0,0,0,0,0,29.33333333,0,0.666666667,0,0,0
IL2_9,0.666666667,0,0.333333333,0,2.666666667,3,0,16.33333333,17,0,0,0,0,0.666666667,0,0,1,0,9.333333333,0,0,0,1.666666667,0.666666667,0,0,2,0,0.333333333,0,17.66666667,0,0,0,0,0
IL3_1,0,0,0,0,2,1,0,16.66666667,18.66666667,0,0,0,0,0,0,0,4.333333333,0.333333333,9.333333333,0,0.333333333,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0
IL3_10,1,0,0,5.333333333,2.666666667,1.333333333,0,19.66666667,23.66666667,0,0,0,0,0.333333333,0,0,2,0,3.333333333,0,0.333333333,0,4.333333333,0,0,0,0,0,0,0,15,0.333333333,0,0,1,0
