"","ACHY","AMID","ARPU9","ARTR2","ARTR2.D","ATCA2","ATCA2.D","Bare.Soil","BOGR2","BOGR2.D","BRTE","CHLE4","CHVI8","CLLU2","ECCOC","ELEL5","EPVI","ERCI6","GRFA","GUSA2","GUSA2.D","HECO26","HECO26.D","JUOS","KRLA2","LAOC3","LEMO2","OPPO","OPPO.D","PEPU7","PIED","PLPA2","SALSO","SALSO.D","SPCO","SPCR","SPCR.D","CHVI8.D","HIJA"
"IL3_9",0.00666666666666667,0,0.00666666666666667,0.146666666666667,0.0866666666666667,0,0,0.38,0.353333333333333,0.0533333333333333,0.00666666666666667,0,0,0,0,0,0.00666666666666667,0,0,0.04,0.02,0.466666666666667,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0.06,0.00666666666666667,0.00666666666666667,0
"IL4_10",0.0266666666666667,0,0,0.113333333333333,0.0266666666666667,0.0333333333333333,0.00666666666666667,0.286666666666667,0.486666666666667,0.0133333333333333,0,0,0.02,0,0,0,0,0,0,0,0,0.233333333333333,0,0,0,0.00666666666666667,0,0.0333333333333333,0,0,0,0,0,0,0,0.213333333333333,0,0,0
"IL4_2",0.00666666666666667,0,0,0.00666666666666667,0.0466666666666667,0.0866666666666667,0.0133333333333333,0.273333333333333,0.293333333333333,0.0333333333333333,0.02,0,0,0,0,0,0,0,0,0.00666666666666667,0.0133333333333333,0.08,0,0,0,0.00666666666666667,0,0.00666666666666667,0,0,0.06,0,0,0,0,0.566666666666667,0.0133333333333333,0,0
"IL4_3",0,0,0,0,0.02,0.0133333333333333,0,0.3,0.466666666666667,0.02,0,0,0,0,0,0,0,0,0,0.02,0,0.56,0,0,0.00666666666666667,0,0,0.0333333333333333,0,0,0,0,0,0,0,0.0733333333333333,0,0,0
"IL4_4",0,0,0,0,0.0333333333333333,0.0133333333333333,0,0.233333333333333,0.366666666666667,0.06,0,0,0,0,0.0133333333333333,0,0.00666666666666667,0,0,0.0466666666666667,0.0333333333333333,0.186666666666667,0,0,0,0,0,0.00666666666666667,0.00666666666666667,0,0.0666666666666667,0,0,0,0,0.0466666666666667,0,0,0
"IL4_5",0.0133333333333333,0,0,0.00666666666666667,0.0266666666666667,0.0266666666666667,0,0.226666666666667,0.486666666666667,0.0333333333333333,0,0,0.02,0,0,0,0,0,0,0.04,0.00666666666666667,0.486666666666667,0,0,0,0,0,0.00666666666666667,0,0,0,0,0,0,0,0.12,0,0,0
"IL4_7",0.0333333333333333,0,0,0,0.113333333333333,0.0466666666666667,0,0.393333333333333,0.553333333333333,0.0266666666666667,0,0,0.00666666666666667,0,0,0,0,0,0,0.0333333333333333,0.0133333333333333,0.286666666666667,0.0133333333333333,0,0,0,0.00666666666666667,0,0,0,0,0,0,0,0,0.0466666666666667,0,0.00666666666666667,0.14
"IL4_8",0,0,0,0.0133333333333333,0.00666666666666667,0,0,0.22,0.04,0,0,0,0,0,0,0,0,0,0,0.0133333333333333,0,0,0,0.173333333333333,0,0,0.00666666666666667,0,0,0.00666666666666667,0.226666666666667,0,0,0,0,0,0,0,0
"IL4_9",0.02,0,0,0.00666666666666667,0.0533333333333333,0.0266666666666667,0,0.146666666666667,0.373333333333333,0.0133333333333333,0,0,0,0,0,0,0,0,0,0.02,0,0.72,0,0,0,0,0.00666666666666667,0.00666666666666667,0,0,0,0,0,0,0,0.16,0,0,0
"M1_1",0,0.0333333333333333,0,0,0.0133333333333333,0.14,0,0.313333333333333,0.0133333333333333,0,0.0466666666666667,0,0,0,0,0,0,0.0133333333333333,0.0133333333333333,0,0,0,0,0,0.0333333333333333,0.126666666666667,0,0,0,0,0,0.0266666666666667,0,0,0,0.433333333333333,0.0866666666666667,0,0
