type	ident	Latitude	Longitude	y_proj	x_proj	comment	display	symbol	dist	proximity	color	altitude	depth	temp	time	wpt_class	sub_class	attrib	link	state	country	city	address	zip	facility	crossroad	ete	dtype	model	filename	ltime	magvar	geoidheight	desc	fix	sat	hdop	vdop	pdop	ageofdgpsdata	dgpsid	dir
WAYPOINT	55-2	38.0129368	-109.9336945	4207786.821	593603.6424	31-JUL-13 11:22:52AM		City (Small)				1909.530029																	garmin GPSMap60CSX Software Version 4.20		7/31/2013 5:22			31-JUL-13 11:22:52AM								
WAYPOINT	55-3	38.01288676	-109.93357	4207781.394	593614.6328	31-JUL-13 11:23:48AM		City (Small)				1910.491455																	garmin GPSMap60CSX Software Version 4.20		7/31/2013 5:23			31-JUL-13 11:23:48AM								
WAYPOINT	55-4	38.01264913	-109.9336888	4207754.908	593604.5086	31-JUL-13 11:18:47AM		City (Small)				1908.809082																	garmin GPSMap60CSX Software Version 4.20		7/31/2013 5:18			31-JUL-13 11:18:47AM								
WAYPOINT	55-5	38.01271551	-109.9338332	4207762.129	593591.7461	31-JUL-13 11:19:33AM		City (Small)				1909.049316																	garmin GPSMap60CSX Software Version 4.20		7/31/2013 5:19			31-JUL-13 11:19:33AM								
WAYPOINT	55-6	38.01274837	-109.9339918	4207765.615	593577.7828	31-JUL-13 11:20:20AM		City (Small)				1907.847656																	garmin GPSMap60CSX Software Version 4.20		7/31/2013 5:20			31-JUL-13 11:20:20AM								
WAYPOINT	56	37.97700299	-109.8410191	4203897.002	601788.8982	56		Flag	 Blue																					garmin GPSMap60CSX Software Version 4.20					56							
WAYPOINT	56-1	38.00946518	-109.9037619	4207432.162	596235.8375	01-AUG-13 5:00:07PM		City (Small)				1974.418457																	garmin GPSMap60CSX Software Version 4.20		8/1/2013 11:00			01-AUG-13 5:00:07PM								
WAYPOINT	56-2	38.0096065	-109.903632	4207447.977	596247.0584	01-AUG-13 5:00:40PM		City (Small)				1974.418457																	garmin GPSMap60CSX Software Version 4.20		8/1/2013 11:00			01-AUG-13 5:00:40PM								
WAYPOINT	56-3	38.00969945	-109.9035558	4207458.37	596253.6256	01-AUG-13 5:01:35PM		City (Small)				1975.620117																	garmin GPSMap60CSX Software Version 4.20		8/1/2013 11:01			01-AUG-13 5:01:35PM								
WAYPOINT	56-4	38.00955579	-109.9032566	4207442.739	596280.0759	01-AUG-13 5:02:26PM		City (Small)				1975.379883																	garmin GPSMap60CSX Software Version 4.20		8/1/2013 11:02			01-AUG-13 5:02:26PM								
WAYPOINT	56-5	38.0094314	-109.903354	4207428.836	596271.6881	01-AUG-13 5:03:08PM		City (Small)				1975.620117																	garmin GPSMap60CSX Software Version 4.20		8/1/2013 11:03			01-AUG-13 5:03:08PM								
WAYPOINT	56-6	38.00933467	-109.9034389	4207418.016	596264.3678	01-AUG-13 5:03:55PM		City (Small)				1974.89917																	garmin GPSMap60CSX Software Version 4.20		8/1/2013 11:03			01-AUG-13 5:03:55PM								
WAYPOINT	57	37.97486904	-109.94967	4203547.001	592248.8952	57		Flag	 Blue																					garmin GPSMap60CSX Software Version 4.20					57							
WAYPOINT	57-1	38.00578695	-109.8828265	4207045.899	598078.6576	02-AUG-13 11:27:30AM		City (Small)				1994.846191																	garmin GPSMap60CSX Software Version 4.20		8/2/2013 5:27			02-AUG-13 11:27:30AM								
WAYPOINT	57-2	38.00592408	-109.8827615	4207061.183	598084.1853	02-AUG-13 11:28:02AM		City (Small)				1995.567139																	garmin GPSMap60CSX Software Version 4.20		8/2/2013 5:28			02-AUG-13 11:28:02AM								
WAYPOINT	57-3	38.00607026	-109.8827233	4207077.443	598087.3388	02-AUG-13 11:28:34AM		City (Small)				1995.567139																	garmin GPSMap60CSX Software Version 4.20		8/2/2013 5:28			02-AUG-13 11:28:34AM								
WAYPOINT	57-4	38.00600496	-109.8823735	4207070.567	598118.1416	02-AUG-13 11:29:16AM		City (Small)				1997.489746																	garmin GPSMap60CSX Software Version 4.20		8/2/2013 5:29			02-AUG-13 11:29:16AM								
WAYPOINT	57-5	38.00587085	-109.8824325	4207055.624	598113.1397	02-AUG-13 11:29:40AM		City (Small)				1996.28833																	garmin GPSMap60CSX Software Version 4.20		8/2/2013 5:29			02-AUG-13 11:29:40AM								
WAYPOINT	57-6	38.00574739	-109.8824766	4207041.879	598109.4334	02-AUG-13 11:30:14AM		City (Small)				1995.807617																	garmin GPSMap60CSX Software Version 4.20		8/2/2013 5:30			02-AUG-13 11:30:14AM								
WAYPOINT	58	37.97466544	-109.937035	4203537.005	593358.894	58		Flag	 Blue																					garmin GPSMap60CSX Software Version 4.20					58							
WAYPOINT	58-1	38.00575409	-109.9158151	4207007.991	595182.4886	31-JUL-13 1:57:22PM		City (Small)				1946.059814																	garmin GPSMap60CSX Software Version 4.20		7/31/2013 7:57			31-JUL-13 1:57:22PM								
WAYPOINT	58-2	38.00563272	-109.915931	4206994.406	595172.4683	31-JUL-13 1:57:51PM		City (Small)				1946.300293																	garmin GPSMap60CSX Software Version 4.20		7/31/2013 7:57			31-JUL-13 1:57:51PM								
WAYPOINT	58-3	38.00551093	-109.9160419	4206980.779	595162.8899	31-JUL-13 1:58:18PM		City (Small)				1947.742188																	garmin GPSMap60CSX Software Version 4.20		7/31/2013 7:58			31-JUL-13 1:58:18PM								
WAYPOINT	58-4	38.00568259	-109.9163177	4206999.544	595138.4575	31-JUL-13 1:59:03PM		City (Small)				1947.501709																	garmin GPSMap60CSX Software Version 4.20		7/31/2013 7:59			31-JUL-13 1:59:03PM								
WAYPOINT	58-5	38.00577949	-109.916202	4207010.413	595148.4874	31-JUL-13 1:59:37PM		City (Small)				1947.501709																	garmin GPSMap60CSX Software Version 4.20		7/31/2013 7:59			31-JUL-13 1:59:37PM								
WAYPOINT	58-6	38.00588192	-109.916095	4207021.888	595157.7449	31-JUL-13 2:00:06PM		City (Small)				1947.261475																	garmin GPSMap60CSX Software Version 4.20		7/31/2013 8:00			31-JUL-13 2:00:06PM								
WAYPOINT	58P	38.00573414	-109.916042	4207005.545	595162.594	31-JUL-13 1:41:50PM		City (Small)				1945.81958																	garmin GPSMap60CSX Software Version 4.20		7/31/2013 7:41			31-JUL-13 1:41:50PM								
WAYPOINT	59	37.97356197	-109.8393654	4203517.005	601938.898	59		Flag	 Blue																					garmin GPSMap60CSX Software Version 4.20					59							
WAYPOINT	59-1	38.00494876	-109.882728	4206953	598088.421	02-AUG-13 12:45:22PM		City (Small)				1991.000977																	garmin GPSMap60CSX Software Version 4.20		8/2/2013 6:45			02-AUG-13 12:45:22PM								
WAYPOINT	59-2	38.00502973	-109.8825961	4206962.123	598099.8961	02-AUG-13 12:45:51PM		City (Small)				1991.241455																	garmin GPSMap60CSX Software Version 4.20		8/2/2013 6:45			02-AUG-13 12:45:51PM								
WAYPOINT	59-3	38.00510868	-109.8824828	4206971.003	598109.7402	02-AUG-13 12:46:16PM		City (Small)				1991.962402																	garmin GPSMap60CSX Software Version 4.20		8/2/2013 6:46			02-AUG-13 12:46:16PM								
WAYPOINT	59-4	38.00488204	-109.8822337	4206946.118	598131.9056	02-AUG-13 12:46:54PM		City (Small)				1992.202637																	garmin GPSMap60CSX Software Version 4.20		8/2/2013 6:46			02-AUG-13 12:46:54PM								
WAYPOINT	59-5	38.00481909	-109.8823996	4206938.959	598117.4261	02-AUG-13 12:47:18PM		City (Small)				1992.202637																	garmin GPSMap60CSX Software Version 4.20		8/2/2013 6:47			02-AUG-13 12:47:18PM								
WAYPOINT	59-6	38.00476578	-109.8825106	4206932.926	598107.754	02-AUG-13 12:47:48PM		City (Small)				1991.721924																	garmin GPSMap60CSX Software Version 4.20		8/2/2013 6:47			02-AUG-13 12:47:48PM								
WAYPOINT	6	38.01478249	-109.8990912	4208026.999	596638.8988	6		Flag	 Blue																					garmin GPSMap60CSX Software Version 4.20					6							
