"","DWAClay","DWASand","DWApH","H1.DWA_AWC","H1.ClayPercent","H1.SandPercent","H1.Texture","H1.SandSize","H1.pH","H1.EfferScale","H1.MoistRed","H1.MoistCClass","H1.MoistValue","Tot.MoistRed","Tot.MoistCClass","Tot.MoistValue","MaxEffervescence","Elevation","CarbonateStage","BioticCrustClass","PedonDepth","Depth200","DepthClass","SlopeShape"
"M4_4",3.46590909090909,72.9545454545455,8.14772727272727,0.297284834375,5,65,"SL","F",7.8,1,2,2,4,3,2,5,3,1879.724457,0,1,176,0,"VeryDeep","LL"
"M4_5",6.65263157894737,76.0263157894737,8.38315789473684,0.174414510336842,10,75,"SL","M",7.6,0,2,2,4,3,3,6,3,1879.11485,1,1,190,0,"VeryDeep","VV"
"M4_6",8.10062893081761,63.9622641509434,8.12201257861635,0.283780024622642,3,70,"SL","F",6.8,1,3,2,4,3,3,4,4,1858.693002,1,2,159,0,"VeryDeep","VV"
"M4_7",9.57534246575342,57.6027397260274,8.33150684931507,2.87096690520548,5,50,"SL","F",8,1,2,2,3,3,2,6,4,1873.018776,1,2,73,0,"ModeratelyDeep","LV"
"M4_9",19.2835820895522,48.955223880597,7.96417910447761,1.74317237059702,25,45,"L","VF",7.6,0,2,2,3,2,2,4,4,1882.467691,0,0,67,0,"ModeratelyDeep","LL"
"1",2.4,95,8.26,0.0494237344,3,95,"S","M",8.2,2,2,2,5,2,2,4,4,2003.498047,0,1,30,0,"Shallow","CL"
"2",5.68789808917197,82.0382165605096,8.2687898089172,0.263843606401274,10,75,"SL","VF",7.6,1,2,2,3,2,3,4,4,1992.443115,1,2,157,0,"VeryDeep","LL"
"10",6.32075471698113,82.3584905660377,8.33584905660377,0.431788245283019,5,85,"LS","VF",8.1,4,3,2,4,3,2,4,4,1953.990723,1,1,150,0,"VeryDeep","VV"
"11",7.13333333333333,79.8,8.44666666666667,0.16226865648,8,85,"LS","VF",8.1,4,3,3,4,3,2,4,4,1947.742188,1,1,65,0,"ModeratelyDeep","CL"
"12",9.30769230769231,76.3846153846154,8.35846153846154,0.352073492307692,5,85,"LS","VF",8.1,4,3,2,4,3,2,3,4,1966.968262,0,1,150,0,"VeryDeep","LV"
"14",6.51612903225806,75.4838709677419,8.3,0.863498165967742,6,80,"LS","VF",8.1,3,2,2,5,2,3,4,4,2005.661133,1,4,44,0,"Shallow","LV"
"15",8.95454545454546,75.2272727272727,8.39090909090909,0.973397932545454,6,80,"LS","VF",8,2,2,3,4,2,3,5,4,2012.630615,2,3,28,0,"Shallow","VV"
"16",7.35714285714286,81.6071428571429,8.23571428571429,0.909467673107143,6,85,"LS","VF",8.1,3,2,3,4,2,3,4,4,2003.97876,1,1,26,0,"Shallow","CL"
"17",8.73076923076923,78.6538461538462,8.24230769230769,0.603998249038462,7,85,"LS","VF",8,3,2,3,5,2,3,4,4,2001,2,3,5,0,"VeryShallow","VV"
"18",6,85,8.1,2.829454983,6,85,"LS","VF",8.1,3,3,2,4,3,2,4,3,1981.868652,0,5,153,0,"VeryDeep","LV"
"19",10.0065359477124,75.797385620915,8.42941176470588,0.162444887078431,10,75,"SL","VF",8,0,3,2,3,3,2,4,4,1895,3,1,46,0,"Shallow","CL"
"20",16.9024390243902,48.1219512195122,8.12926829268293,0.740559752608696,10,60,"SL","VF",8.2,3,3,2,4,4,2,4,4,1987,1,1,95,0,"ModeratelyDeep","LV"
"21",6.02105263157895,84.5684210526316,8.38210526315789,0.366019525894737,8,85,"LS","VF",8.1,4,3,2,4,3,2,4,4,1966.247314,1,1,154,0,"VeryDeep","CL"
"23",11.4074074074074,64.4444444444444,8.14814814814815,0.319938511,12,75,"SL","VF",7.6,0,3,2,4,3,2,4,4,1980,1,NA,48,0,"Shallow","LL"
"24",12.4583333333333,72.375,8.11458333333333,0.966821843333333,12,72,"SL","VF",8,2,3,2,4,3,2,3,4,1886,3,1,149,0,"Deep","LL"
"32",7.04385964912281,83.9912280701754,8.53771929824561,0.487485789245614,8,75,"SL","VF",8,2,2,2,3,2,3,5,4,1965.045654,0,1,86,0,"ModeratelyDeep","CL"
"33",7.41860465116279,79.6511627906977,8.32093023255814,0.296105754034884,6,85,"LS","VF",8.1,4,2,3,5,2,3,5,4,1844.641602,0,1,19,0,"VeryShallow","CV"
"38",8.31914893617021,74.968085106383,8.19468085106383,0.682827642446808,11,72,"SL","VF",8,0,3,2,4,3,3,4,4,1867,1,2,19,0,"VeryShallow","LV"
"39",8.31578947368421,82.8947368421053,8.1,2.25418468589474,6,80,"LS","VF",8.1,4,3,3,4,3,3,4,4,1897.032959,0,5,122,0,"Deep","LV"
"40",10.7704918032787,74.9344262295082,8.16803278688525,0.532544490754098,12,72,"SL","VF",7.8,0,3,2,3,3,2,4,4,1876,3,1,151,0,"VeryDeep","LL"
"42",9.32758620689655,77.7068965517241,8.22586206896552,0.769028220206897,9,77,"SL","VF",8,1,3,2,3,3,2,3,4,1878,2,1,154,0,"VeryDeep","CL"
"43",14.7402597402597,66.8246753246753,8.33311688311688,0.313094804805195,12,70,"SL","VF",8,0,3,2,3,3,2,5,4,1882,3,1,126,0,"Deep","CL"
"44",6.80952380952381,84.7222222222222,8.36111111111111,0.2822037285,5,80,"LS","VF",8,1,3,3,5,3,3,4,4,1886.458496,1,1,104,0,"Deep","LL"
"47",8.56666666666667,75.3,8.34266666666667,0.31073276564,7,75,"SL","VF",8.1,3,1,2,3,1,3,4,4,1909.289795,0,2,80,0,"ModeratelyDeep","VV"
"48",7.0625,82.4375,8.34492753623188,0.9984894338375,4,75,"LS","VF",NA,3,3,2,3,3,3,4,4,1940.532227,0,1,150,0,"VeryDeep","CC"
"50",8.96153846153846,85,8.23076923076923,1.08719684826923,7,85,"LS","VF",8.1,4,3,2,4,3,3,4,4,1925.391602,0,1,87,0,"ModeratelyDeep","LL"
"57",10.2873563218391,73.7126436781609,8.10344827586207,0.590552542965517,10,74,"SL","VF",7.6,2,3,3,4,3,3,5,4,1996,3,1,149,0,"Deep","CL"
"59",8.91275167785235,81.0469798657718,8.13825503355705,0.168886649154362,12,76,"SL","VF",7.8,2,2,1,3,3,2,4,4,1993,1,1,149,0,"Deep","LL"
"60",12.0335570469799,67.5771812080537,8.08456375838926,0.225836194308725,9,74,"SL","VF",7.6,2,2,2,3,2,2,4,4,1982,1,1,149,0,"Deep","LL"
"61",9.04026845637584,73.9597315436242,8.23154362416107,0.266411217516778,8,75,"SL","F",7.8,0,3,2,4,2,2,4,4,2001,1,6,122,0,"Deep","LL"
"67",9.20491803278689,74.1639344262295,NA,0.57837333252459,10,73,"SL","VF",NA,NA,3,2,4,3,3,4,NA,2006,2,1,139,0,"Deep","CL"
"68",5.96402877697842,80.5539568345324,8.14820143884892,0.291757370215827,9,75,"SL","F",8,2,3,1,3,2,2,4,3,1978,0,1,96,0,"ModeratelyDeep","LV"
"73",10.5104166666667,73.3541666666667,8.14166666666667,0.4539255834375,11,74,"SL","VF",7.9,0,3,2,4,3,2,5,4,1988,2,1,58,0,"ModeratelyDeep","CL"
"77",13.0172413793103,73.0344827586207,8.18448275862069,1.25858093151724,9,75,"SL","VF",8,0,4,1,3,3,2,3,4,2020,3,3,152,0,"VeryDeep","CL"
"80",12.1973684210526,72.3815789473684,8.43092105263158,0.315169254355263,10,76,"SL","VF",8,0,3,2,3,3,2,4,4,1884,3,1,64,0,"ModeratelyDeep","LL"
"82",8.078125,80,8.084375,0.485956994765625,9,80,"LS","VF",7.9,3,3,2,4,3,3,4,4,1864,1,3,123,0,"Deep","LL"
"90",5,83.6,8.144,1.42230679164,5,80,"LS","VF",8,2,2,3,4,2,3,4,4,1942.2146,0,1,145,0,"Deep","LL"
