"id","top","bottom","Horizon","DryRed","DryValue","DryCClass","MoistRed","MoistValue","MoistCClass","Texture","SandPercent","SandSize","ClayPercent","pH","EfferScale","Theta_fc","Theta_pwp","AWHC","HzNum",".id","Depth","DryHue","MoistHue","DryChroma","MoistChroma","Effervescence"
"B3_2",40,67,"Cr","3",8,"1","3",7,"2","SL",55,"MIX",3,8.6,"4",0.192942922,0.059012428,13.39304941,NA,4,27,"5YR","5YR","2",4,"VE"
"B3_2",67,67,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,NA,NA,NA,NA,NA
"B3_3",0,5,"A","2",6,"2","2",4,"2","SL",50,"F",5,7.6,"2",0.210873721,0.061173304,14.97004172,NA,1,5,"7.5YR","7.5YR","4",4,"SL"
"B3_3",5,13,"B","2",6,"2","2",4,"2","SL",65,"VF",10,8,"3",0.17465399,0.070339948,10.43140426,NA,2,8,"7.5YR","7.5YR","4",4,"ST"
"B3_3",13,60,"B2","2",7,"2","2",5,"2","SL",55,"F",7,8,"3",0.194530427,0.066222367,12.83080608,NA,3,47,"7.5YR","7.5YR","4",4,"ST"
"B3_3",60,135,"B3","2",7,"2","2",6,"2","SL",50,"F",5,8.2,"3",0.210873721,0.061173304,14.97004172,NA,4,75,"7.5YR","7.5YR","4",4,"ST"
"B3_3",135,165,"Bt","2",6,"2","2",5,"2","SiL",20,"VF",20,8.2,"3",0.297566721,0.092273262,20.52934586,NA,5,30,"7.5YR","7.5YR","4",4,"ST"
"B3_3",165,200,"Ab","3",6,"3","3",4,"3","SL",65,"F",5,7.5,"0",0.16366872,0.059024459,10.46442617,NA,6,35,"5YR","5YR","6",6,"NE"
"B3_4",0,7,"A","2",6,"2","2",4,"2","SL",70,"F",3,7.6,"0",0.138974053,0.048732005,9.024204783,NA,1,7,"7.5YR","7.5YR","4",4,"NE"
"B3_4",7,21,"B","3",6,"3","3",5,"3","SL",65,"F",3,7.8,"2",0.159904349,0.054985829,10.49185197,NA,2,14,"5YR","5YR","6",6,"SL"
"B3_4",21,127,"B2","3",7,"3","3",5,"3","SL",70,"F",3,8.2,"3",0.138974053,0.048732005,9.024204783,NA,3,106,"5YR","5YR","6",6,"ST"
"B3_4",127,148,"Cr","3",8,"2","3",6,"2","LS",75,"F",3,8.6,"3",0.112720965,0.041797128,7.092383724,NA,4,21,"5YR","5YR","3",4,"ST"
"B3_4",148,148,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,NA,NA,NA,NA,NA
"B3_5",0,5,"A","2",6,"3","2",4,"3","L",45,"VF",15,7.8,"3",0.227481428,0.080616611,14.6864817,NA,1,5,"7.5YR","7.5YR","6",6,"ST"
