id,bottom,bottom,Horizon,DryHue,DryValue,DryChroma,MoistHue,MoistValue,MoistChroma,Texture,SandPercent,SandSize,ClayPercent,pH,Effervescence,Theta_fc,Theta_pwp,AWHC,HzNum
CLHS26P,0,9,A,7.5YR,5,6,7.5YR,4,6,LS,80,VF,5,8.2,VE,0.093772599,0.042975928,5.079667113,1
CLHS26P,9,17,Bw1,7.5YR,5,6,7.5YR,4,6,LS,80,VF,5,8.3,VE,0.093772599,0.042975928,5.079667113,2
CLHS26P,17,31,Bw2,7.5YR,7,3,7.5YR,6,4,SL,75,VF,10,8.6,VE,0.142929541,0.060082649,8.284689241,3
CLHS26P,31,31,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
CLHS27P,0,12,A,7.5YR,6,4,7.5YR,4,6,LS,85,VF ,6,8.2,VE,0.075697345,0.047402795,2.829454983,1
CLHS27P,12,39,Bw1,7.5YR,6,4,7.5YR,4,6,LS,80,VF,6,8.4,VE,0.098915741,0.045378855,5.353688629,2
CLHS27P,39,122,Bw2,7.5YR,6,4,7.5YR,4,6,LS,80,VF,8,8.5,VE,0.109640891,0.050402787,5.923810471,3
CLHS27P,122,153,Bw3,7.5YR,6,4,7.5YR,4,6,LS,80,VF,10,8.3,VE,0.120922531,0.055689319,6.523321172,4
CLHS28P,0,9,A,5YR,6,4,5YR,4,4,LS,85,VF,5,8.2,VE,0.070626535,0.045199005,2.542753,1
CLHS28P,9,40,Bk1,5YR,6,4,5YR,4,6,S,95,M,4,8.1,ST,0.057736961,0.056070305,0.166665567,2
CLHS28P,40,83,C,5YR,7,3,5YR,5,4,S,95,M,3,8.2,SL,0.054755763,0.053520169,0.123559336,3
CLHS28P,83,83,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
CLHS29P,0,7,A,10YR,6,4,10YR,4,3,FLS,80,F,7,8.2,ST,0.104209268,0.047858639,5.635062899,1
CLHS29P,7,34,Bw,10YR,8,4,10YR,5,6,FS,90,F,5,8.1,VE,0.060152168,0.051567856,0.858431167,2
CLHS29P,34,80,Bk1,10YR,7,3,10YR,4,6,VFLS,80,VF,8,8.3,VE,0.109640891,0.050402787,5.923810471,3
CLHS29P,80,163,Bk2,10YR,7,3,10YR,4,6,VFLS,80,VF,8,8.3,VE,0.109640891,0.050402787,5.923810471,4
CLHS30P,0,10,A,7.5YR,6,4,7.5YR,4,4,S,90,VF,4,8,SL,0.056353114,0.049268856,0.708425839,1
CLHS30P,10,27,Bw1,7.5YR,6,4,7.5YR,4,4,S,90,VF,5,8.1,VE,0.060152168,0.051567856,0.858431167,2
