"","id","Elevation","SlopeShape","maxClay","minClay","maxSand","minSand","maxDepth","maxpH","minpH","maxDryValue","minDryValue","maxDryChroma","minDryChroma","maxMoistValue","minMoistValue","maxMoistChroma","minMoistChroma","CarbonateStage","BioticCrustClass","Surface","Subsurface","Depth50","Depth100","Depth150","Depth200","MaxAWC","TotalAWC","AWC25","AWC50","AWC100","ARTR2","ARTR2.D","Class"
"82","M2_6",1859.607413,"LL",18,5,80,45,186,7.6,7.4,7,5,4,3,5,4,4,3,1,0,4,4,1,1,1,0,11.687,29.615,7.19424,6.13712,6.41496,0,0,3
"83","M2_7",1873.32358,"LV",7,5,80,60,200,8.1,8,7,5,4,4,7,5,4,4,0,1,4,4,1,1,1,1,11.542,30.617,5.24348,5.7615,6.42675,0,0,3
"84","M2_8",1885.820532,"VL",7,3,80,60,200,8.2,7.6,7,6,4,3,5,4,4,2,0,0,2,4,1,1,1,1,9.285,20,8.444,8.8645,7.87025,0,1,2
"85","M2_9",1894.964643,"VV",7,5,80,70,180,8.4,7.4,7,6,6,4,5,3,4,3,1,1,3,4,1,1,1,0,9.155,42.414,6.05596,6.57398,6.83299,1,1,1
"86","M3_1",1875.457206,"LL",5,3,75,55,186,8.6,7.6,7,6,4,4,6,4,6,3,0,2,3,6,1,1,1,0,13.105,48.131,12.14076,10.53538,9.30881,0,0,3
"87","M3_2",1881.858083,"CC",7,5,80,60,91,8.6,7,8,5,6,1,6,4,4,4,1,1,4,4,1,0,0,0,11.542,36.35,10.6628,10.04338,8.26921978,1,1,1
"88","M3_3",1871.799561,"VV",5,5,75,65,170,8.4,7.6,7,6,6,4,5,4,4,4,0,2,4,4,1,1,1,0,10.464,37.513,9.88804,9.52152,8.99326,1,1,1
"89","M3_5",1874.847598,"VV",12,3,75,50,183,8.8,7.6,7,5,6,4,5,3,6,4,1,1,4,6,1,1,1,0,14.97,43.331,14.207,11.27974,9.18587,0,1,2
"90","M3_7",1891.002195,"VL",5,5,85,70,189,8.4,8,6,6,4,4,6,6,4,4,1,1,4,4,1,1,1,0,9.155,24.208,7.56812,7.84406,7.63703,1,1,1
"91","M3_8",1867.837113,"LV",15,5,70,55,186,8.8,7.4,8,6,6,3,7,4,6,3,1,1,3,6,1,1,1,0,12.831,67.765,11.17172,10.9282,11.27033,0,1,2
"92","M4_2",1866.313094,"VV",5,3,70,50,200,8.4,7.4,8,6,4,4,6,3,4,4,0,3,4,4,1,1,1,1,14.97,74.972,10.65692,9.85618,9.75689,1,1,1
"93","M4_3",1867.837113,"LV",23,5,70,40,188,8.6,7.8,8,6,6,2,8,4,6,4,1,1,4,6,1,1,1,0,14.583,63.818,9.1966,9.2408,9.2044,1,1,1
"94","M4_4",1879.724457,"LL",5,3,80,60,176,8.2,7.8,8,6,6,3,6,4,6,4,0,1,4,4,1,1,1,0,11.687,33.796,11.4424,10.7376,8.9148,0,1,2
"95","M4_5",1879.11485,"VV",10,5,80,75,190,8.4,7.6,7,6,6,4,6,4,6,3,1,1,3,4,1,1,1,0,8.285,21.133,5.5928,5.71272,6.74036,0,0,3
"96","M4_6",1858.693002,"VV",20,3,70,60,159,8.4,6.8,7,5,6,4,5,4,6,3,1,2,3,6,1,1,1,0,11.038,41.108,10.1984,10.3452,10.4186,1,1,1
"97","M4_7",1873.018776,"LV",15,3,75,50,73,8.6,8,8,5,4,2,7,3,6,4,1,2,4,6,1,0,0,0,14.97,47.135,14.10392,13.03596,11.83115068,1,1,1
"98","M4_9",1882.467691,"LL",25,7,55,45,67,8.4,7.6,7,5,4,4,5,3,6,4,0,0,4,4,1,0,0,0,12.977,51.488,12.88932,12.79616,12.77825373,1,1,1
